REQUEST		Create	1679619640925	1679619640958	OK	 
USER	Crear datos	END	1679619640958
USER	Obtener datos	START	1679619641033
REQUEST		Select	1679619641033	1679619641048	OK	 
USER	Obtener datos	END	1679619641048
USER	Borrar datos	START	1679619641128
USER	Crear datos	START	1679619641128
USER	Obtener datos	START	1679619641129
REQUEST		Create	1679619641128	1679619641144	OK	 
USER	Crear datos	END	1679619641144
REQUEST		Select	1679619641129	1679619641146	OK	 
USER	Obtener datos	END	1679619641147
REQUEST		Delete	1679619641128	1679619641147	OK	 
USER	Borrar datos	END	1679619641147
USER	Actualizar datos	START	1679619641238
USER	Obtener datos	START	1679619641239
REQUEST		Update	1679619641236	1679619641302	OK	 
REQUEST		Select	1679619641237	1679619641302	OK	 
USER	Obtener datos	END	1679619641303
USER	Actualizar datos	END	1679619641303
USER	Borrar datos	START	1679619641330
USER	Crear datos	START	1679619641331
USER	Obtener datos	START	1679619641332
REQUEST		Delete	1679619641329	1679619641390	OK	 
USER	Borrar datos	END	1679619641391
REQUEST		Create	1679619641329	1679619641393	OK	 
REQUEST		Select	1679619641331	1679619641393	OK	 
USER	Crear datos	END	1679619641393
USER	Obtener datos	END	1679619641393
USER	Obtener datos	START	1679619641442
REQUEST		Select	1679619641441	1679619641465	OK	 
USER	Obtener datos	END	1679619641465
USER	Borrar datos	START	1679619641531
USER	Crear datos	START	1679619641531
USER	Obtener datos	START	1679619641532
REQUEST		Create	1679619641529	1679619641593	OK	 
REQUEST		Select	1679619641530	1679619641593	OK	 
USER	Crear datos	END	1679619641594
USER	Obtener datos	END	1679619641594
REQUEST		Delete	1679619641529	1679619641595	OK	 
USER	Borrar datos	END	1679619641597
USER	Obtener datos	START	1679619641643
REQUEST		Select	1679619641639	1679619641677	OK	 
USER	Obtener datos	END	1679619641677
USER	Obtener datos	START	1679619641733
USER	Crear datos	START	1679619641733
USER	Borrar datos	START	1679619641736
USER	Actualizar datos	START	1679619641741
REQUEST		Select	1679619641732	1679619641771	OK	 
USER	Obtener datos	END	1679619641771
REQUEST		Update	1679619641740	1679619641785	OK	 
USER	Actualizar datos	END	1679619641785
REQUEST		Create	1679619641733	1679619641787	OK	 
USER	Crear datos	END	1679619641788
REQUEST		Delete	1679619641736	1679619641789	OK	 
USER	Borrar datos	END	1679619641789
USER	Obtener datos	START	1679619641841
REQUEST		Select	1679619641839	1679619641878	OK	 
USER	Obtener datos	END	1679619641879
USER	Crear datos	START	1679619641941
USER	Obtener datos	START	1679619641941
USER	Borrar datos	START	1679619641942
REQUEST		Create	1679619641941	1679619641982	OK	 
USER	Crear datos	END	1679619641982
REQUEST		Select	1679619641939	1679619641985	OK	 
USER	Obtener datos	END	1679619641985
REQUEST		Delete	1679619641941	1679619641986	OK	 
USER	Borrar datos	END	1679619641986
USER	Obtener datos	START	1679619642038
REQUEST		Select	1679619642037	1679619642049	OK	 
USER	Obtener datos	END	1679619642049
USER	Crear datos	START	1679619642130
USER	Borrar datos	START	1679619642130
USER	Obtener datos	START	1679619642130
REQUEST		Delete	1679619642129	1679619642158	OK	 
USER	Borrar datos	END	1679619642159
REQUEST		Create	1679619642129	1679619642161	OK	 
USER	Crear datos	END	1679619642162
REQUEST		Select	1679619642129	1679619642161	OK	 
USER	Obtener datos	END	1679619642162
USER	Actualizar datos	START	1679619642238
USER	Obtener datos	START	1679619642239
REQUEST		Select	1679619642238	1679619642255	OK	 
USER	Obtener datos	END	1679619642255
REQUEST		Update	1679619642238	1679619642265	OK	 
USER	Actualizar datos	END	1679619642266
USER	Obtener datos	START	1679619642332
USER	Borrar datos	START	1679619642332
USER	Crear datos	START	1679619642332
REQUEST		Create	1679619642331	1679619642358	OK	 
USER	Crear datos	END	1679619642358
REQUEST		Select	1679619642331	1679619642359	OK	 
USER	Obtener datos	END	1679619642360
REQUEST		Delete	1679619642331	1679619642361	OK	 
USER	Borrar datos	END	1679619642362
USER	Obtener datos	START	1679619642437
REQUEST		Select	1679619642437	1679619642450	OK	 
USER	Obtener datos	END	1679619642450
USER	Crear datos	START	1679619642531
USER	Obtener datos	START	1679619642531
USER	Borrar datos	START	1679619642531
REQUEST		Select	1679619642530	1679619642546	OK	 
USER	Obtener datos	END	1679619642546
REQUEST		Create	1679619642530	1679619642557	OK	 
USER	Crear datos	END	1679619642557
REQUEST		Delete	1679619642530	1679619642559	OK	 
USER	Borrar datos	END	1679619642559
USER	Obtener datos	START	1679619642638
REQUEST		Select	1679619642638	1679619642650	OK	 
USER	Obtener datos	END	1679619642650
USER	Crear datos	START	1679619642746
USER	Obtener datos	START	1679619642746
USER	Borrar datos	START	1679619642746
USER	Actualizar datos	START	1679619642747
REQUEST		Select	1679619642746	1679619642761	OK	 
USER	Obtener datos	END	1679619642761
REQUEST		Update	1679619642746	1679619642773	OK	 
USER	Actualizar datos	END	1679619642773
REQUEST		Create	1679619642746	1679619642774	OK	 
REQUEST		Delete	1679619642746	1679619642774	OK	 
USER	Borrar datos	END	1679619642774
USER	Crear datos	END	1679619642774
USER	Obtener datos	START	1679619642838
REQUEST		Select	1679619642838	1679619642850	OK	 
USER	Obtener datos	END	1679619642851
USER	Borrar datos	START	1679619642931
USER	Obtener datos	START	1679619642931
USER	Crear datos	START	1679619642931
REQUEST		Create	1679619642931	1679619642956	OK	 
USER	Crear datos	END	1679619642956
REQUEST		Select	1679619642931	1679619642959	OK	 
USER	Obtener datos	END	1679619642959
REQUEST		Delete	1679619642931	1679619642960	OK	 
USER	Borrar datos	END	1679619642960
USER	Obtener datos	START	1679619643040
REQUEST		Select	1679619643039	1679619643052	OK	 
USER	Obtener datos	END	1679619643052
USER	Borrar datos	START	1679619643133
USER	Crear datos	START	1679619643133
USER	Obtener datos	START	1679619643134
REQUEST		Create	1679619643133	1679619643158	OK	 
USER	Crear datos	END	1679619643159
REQUEST		Delete	1679619643133	1679619643160	OK	 
USER	Borrar datos	END	1679619643161
REQUEST		Select	1679619643133	1679619643161	OK	 
USER	Obtener datos	END	1679619643162
USER	Obtener datos	START	1679619643225
USER	Actualizar datos	START	1679619643225
REQUEST		Select	1679619643225	1679619643239	OK	 
USER	Obtener datos	END	1679619643239
REQUEST		Update	1679619643225	1679619643240	OK	 
USER	Actualizar datos	END	1679619643241
USER	Crear datos	START	1679619643335
USER	Obtener datos	START	1679619643335
USER	Borrar datos	START	1679619643335
REQUEST		Create	1679619643335	1679619643360	OK	 
USER	Crear datos	END	1679619643360
REQUEST		Select	1679619643335	1679619643361	OK	 
USER	Obtener datos	END	1679619643362
REQUEST		Delete	1679619643335	1679619643363	OK	 
USER	Borrar datos	END	1679619643364
USER	Obtener datos	START	1679619643429
REQUEST		Select	1679619643428	1679619643447	OK	 
USER	Obtener datos	END	1679619643447
USER	Borrar datos	START	1679619643538
USER	Obtener datos	START	1679619643538
USER	Crear datos	START	1679619643538
REQUEST		Select	1679619643537	1679619643554	OK	 
USER	Obtener datos	END	1679619643554
REQUEST		Create	1679619643537	1679619643557	OK	 
